Start Time (UTC) = 1729570486.078829
Time interval = 800 us

Time	Ch01Gr01	Ch01Gr02	Ch01Gr03	Ch01Gr04	Ch01Gr05	Ch02Gr01	Ch02Gr02	Ch02Gr03	Ch02Gr04	Ch02Gr05
	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)
0.065600	1559.5970	1554.2080	1549.1868	1545.0824	1542.3135	1559.5851	1553.7274	1549.1282	1546.4912	1542.6475
0.066400	1559.5962	1554.2080	1549.1860	1545.0824	1542.3135	1559.5851	1553.7274	1549.1290	1546.4920	1542.6475
0.067200	1559.5977	1554.2072	1549.1868	1545.0824	1542.3135	1559.5843	1553.7266	1549.1290	1546.4928	1542.6475
0.068000	1559.5977	1554.2088	1549.1868	1545.0824	1542.3135	1559.5859	1553.7282	1549.1290	1546.4920	1542.6468
0.068800	1559.5970	1554.2080	1549.1860	1545.0832	1542.3127	1559.5843	1553.7274	1549.1282	1546.4920	1542.6468
0.069600	1559.5970	1554.2080	1549.1860	1545.0832	1542.3135	1559.5843	1553.7274	1549.1290	1546.4928	1542.6475
0.070400	1559.5970	1554.2080	1549.1868	1545.0824	1542.3135	1559.5851	1553.7282	1549.1290	1546.4920	1542.6468
0.071200	1559.5977	1554.2088	1549.1860	1545.0832	1542.3127	1559.5851	1553.7282	1549.1282	1546.4928	1542.6468
0.072000	1559.5970	1554.2088	1549.1868	1545.0832	1542.3135	1559.5843	1553.7274	1549.1290	1546.4920	1542.6475
0.072800	1559.5970	1554.2080	1549.1868	1545.0832	1542.3135	1559.5859	1553.7274	1549.1290	1546.4920	1542.6475
0.073600	1559.5970	1554.2088	1549.1860	1545.0832	1542.3127	1559.5843	1553.7274	1549.1282	1546.4920	1542.6468
0.074400	1559.5962	1554.2080	1549.1868	1545.0824	1542.3127	1559.5843	1553.7282	1549.1290	1546.4936	1542.6468
0.075200	1559.5977	1554.2080	1549.1860	1545.0824	1542.3135	1559.5851	1553.7282	1549.1282	1546.4920	1542.6475
0.076000	1559.5970	1554.2080	1549.1860	1545.0816	1542.3127	1559.5851	1553.7274	1549.1290	1546.4928	1542.6468
0.076800	1559.5970	1554.2088	1549.1852	1545.0832	1542.3135	1559.5851	1553.7274	1549.1274	1546.4928	1542.6468
0.077600	1559.5962	1554.2080	1549.1860	1545.0824	1542.3135	1559.5843	1553.7282	1549.1290	1546.4928	1542.6475
0.078400	1559.5962	1554.2072	1549.1868	1545.0832	1542.3135	1559.5851	1553.7274	1549.1282	1546.4928	1542.6468
0.079200	1559.5970	1554.2080	1549.1852	1545.0824	1542.3143	1559.5859	1553.7282	1549.1290	1546.4912	1542.6475
0.080000	1559.5970	1554.2072	1549.1860	1545.0832	1542.3143	1559.5843	1553.7274	1549.1282	1546.4920	1542.6475
0.080800	1559.5970	1554.2080	1549.1868	1545.0832	1542.3135	1559.5851	1553.7282	1549.1290	1546.4928	1542.6468
0.081600	1559.5962	1554.2080	1549.1868	1545.0824	1542.3135	1559.5843	1553.7274	1549.1290	1546.4920	1542.6475
0.082400	1559.5970	1554.2088	1549.1860	1545.0832	1542.3135	1559.5843	1553.7282	1549.1282	1546.4928	1542.6468
0.083200	1559.5970	1554.2072	1549.1868	1545.0816	1542.3127	1559.5851	1553.7274	1549.1290	1546.4936	1542.6468
0.084000	1559.5970	1554.2072	1549.1868	1545.0824	1542.3143	1559.5851	1553.7282	1549.1290	1546.4920	1542.6475
0.084800	1559.5970	1554.2080	1549.1860	1545.0824	1542.3143	1559.5859	1553.7274	1549.1290	1546.4928	1542.6475
0.085600	1559.5970	1554.2080	1549.1860	1545.0824	1542.3135	1559.5843	1553.7282	1549.1290	1546.4920	1542.6468
0.086400	1559.5962	1554.2088	1549.1868	1545.0832	1542.3135	1559.5835	1553.7274	1549.1290	1546.4928	1542.6468
0.087200	1559.5970	1554.2080	1549.1852	1545.0832	1542.3135	1559.5843	1553.7282	1549.1274	1546.4920	1542.6460
0.088000	1559.5970	1554.2096	1549.1860	1545.0832	1542.3135	1559.5843	1553.7282	1549.1290	1546.4920	1542.6468
0.088800	1559.5970	1554.2088	1549.1868	1545.0824	1542.3135	1559.5859	1553.7282	1549.1282	1546.4920	1542.6468
0.089600	1559.5962	1554.2080	1549.1876	1545.0824	1542.3135	1559.5851	1553.7274	1549.1297	1546.4920	1542.6468
0.090400	1559.5962	1554.2080	1549.1868	1545.0824	1542.3135	1559.5843	1553.7282	1549.1282	1546.4928	1542.6468
0.091200	1559.5970	1554.2080	1549.1868	1545.0832	1542.3135	1559.5843	1553.7274	1549.1290	1546.4928	1542.6475
0.092000	1559.5970	1554.2080	1549.1860	1545.0832	1542.3135	1559.5843	1553.7274	1549.1282	1546.4920	1542.6475
0.092800	1559.5970	1554.2088	1549.1860	1545.0840	1542.3127	1559.5851	1553.7282	1549.1290	1546.4928	1542.6475
0.093600	1559.5962	1554.2080	1549.1860	1545.0824	1542.3135	1559.5851	1553.7282	1549.1282	1546.4920	1542.6475
0.094400	1559.5970	1554.2080	1549.1868	1545.0824	1542.3135	1559.5851	1553.7274	1549.1297	1546.4928	1542.6475
0.095200	1559.5970	1554.2072	1549.1868	1545.0824	1542.3143	1559.5851	1553.7282	1549.1282	1546.4920	1542.6475
0.096000	1559.5962	1554.2072	1549.1860	1545.0824	1542.3143	1559.5851	1553.7282	1549.1290	1546.4920	1542.6475
0.096800	1559.5970	1554.2080	1549.1852	1545.0832	1542.3135	1559.5843	1553.7282	1549.1282	1546.4928	1542.6468
0.097600	1559.5962	1554.2080	1549.1860	1545.0824	1542.3135	1559.5843	1553.7282	1549.1282	1546.4928	1542.6468
